filter glass type	BG60HT
Reflection factor  P	0.914
Reference thickness	1
Filter thickness   d =	1
wavelength in nm	ti
200	6.62052E-10
201	6.62052E-10
202	6.62052E-10
203	6.62052E-10
204	6.62052E-10
205	6.62052E-10
206	6.62052E-10
207	6.62052E-10
208	6.62052E-10
209	6.62052E-10
210	6.62052E-10
211	6.62052E-10
212	6.62052E-10
213	6.62052E-10
214	6.62052E-10
215	6.62052E-10
216	6.62052E-10
217	6.62052E-10
218	6.62052E-10
219	6.62052E-10
220	6.62052E-10
221	6.62052E-10
222	6.62052E-10
223	6.62052E-10
224	6.62052E-10
225	6.62052E-10
226	6.62052E-10
227	6.62052E-10
228	6.62052E-10
229	6.62052E-10
230	6.62052E-10
231	6.62052E-10
232	6.62052E-10
233	6.62052E-10
234	6.62052E-10
235	6.62052E-10
236	6.62052E-10
237	6.62052E-10
238	6.62052E-10
239	6.62052E-10
240	6.62052E-10
241	6.62052E-10
242	6.62052E-10
243	6.62052E-10
244	6.62052E-10
245	6.62052E-10
246	6.62052E-10
247	6.62052E-10
248	6.62052E-10
249	6.62052E-10
250	6.62052E-10
251	6.62052E-10
252	6.62052E-10
253	6.62052E-10
254	6.62052E-10
255	6.62052E-10
256	6.62052E-10
257	6.62052E-10
258	6.62052E-10
259	6.62052E-10
260	6.62052E-10
261	6.62052E-10
262	6.62052E-10
263	6.62052E-10
264	6.62052E-10
265	6.62052E-10
266	6.62052E-10
267	6.62052E-10
268	6.62052E-10
269	6.62052E-10
270	6.62052E-10
271	6.62052E-10
272	6.62052E-10
273	6.62052E-10
274	6.62052E-10
275	6.62052E-10
276	6.62052E-10
277	6.62052E-10
278	6.62052E-10
279	6.62052E-10
280	6.62052E-10
281	6.62052E-10
282	6.62052E-10
283	6.62052E-10
284	6.62052E-10
285	6.62052E-10
286	6.62052E-10
287	6.62052E-10
288	6.62052E-10
289	6.62052E-10
290	6.62052E-10
291	6.62052E-10
292	6.62052E-10
293	6.62052E-10
294	6.62052E-10
295	6.62052E-10
296	6.62052E-10
297	6.62052E-10
298	6.62052E-10
299	6.62052E-10
300	6.62052E-10
301	6.62052E-10
302	6.62052E-10
303	6.62052E-10
304	6.62052E-10
305	6.62052E-10
306	6.62052E-10
307	6.62052E-10
308	6.62052E-10
309	6.62052E-10
310	6.62052E-10
311	3.36835E-09
312	1.50481E-08
313	5.4737E-08
314	1.99104E-07
315	6.42218E-07
316	1.85075E-06
317	5.31977E-06
318	1.38832E-05
319	3.35043E-05
320	7.41533E-05
321	0.000154702
322	0.000301958
323	0.000562726
324	0.00099473
325	0.001689821
326	0.002757822
327	0.004323085
328	0.006563517
329	0.009622652
330	0.015737518
331	0.021515123
332	0.028626706
333	0.037177763
334	0.047385713
335	0.059354921
336	0.073189739
337	0.088660941
338	0.105763973
339	0.124494783
340	0.144739194
341	0.166273761
342	0.188876608
343	0.212437171
344	0.236955263
345	0.261662386
346	0.286780004
347	0.311980731
348	0.337157028
349	0.361982809
350	0.386569695
351	0.41081036
352	0.434379391
353	0.457388021
354	0.479293269
355	0.500424251
356	0.520564951
357	0.540152331
358	0.558861195
359	0.576801587
360	0.593865922
361	0.609946658
362	0.625153481
363	0.639487276
364	0.653057391
365	0.665864473
366	0.677909115
367	0.688974899
368	0.699387807
369	0.709039777
370	0.718473326
371	0.727146541
372	0.73560173
373	0.743297107
374	0.750991527
375	0.758251591
376	0.76529414
377	0.772119253
378	0.778618687
379	0.784792547
380	0.790099434
381	0.794864437
382	0.799087676
383	0.803418925
384	0.807641623
385	0.811539263
386	0.815761453
387	0.819658626
388	0.823230839
389	0.826369904
390	0.829508825
391	0.832539372
392	0.83546156
393	0.838491848
394	0.841305569
395	0.844010963
396	0.846499834
397	0.848880411
398	0.851044502
399	0.853100328
400	0.855372487
401	0.857428188
402	0.859483829
403	0.861323038
404	0.863270383
405	0.865001313
406	0.86684038
407	0.8686794
408	0.8704102
409	0.87224913
410	0.873979845
411	0.875494186
412	0.877116661
413	0.878630937
414	0.880253342
415	0.881875711
416	0.883389889
417	0.884904036
418	0.886310002
419	0.887715942
420	0.889013708
421	0.890203308
422	0.89150103
423	0.892798731
424	0.894204547
425	0.8955022
426	0.8970161
427	0.898205572
428	0.899286893
429	0.900368199
430	0.901557617
431	0.90263889
432	0.903828272
433	0.905017636
434	0.906098859
435	0.907288187
436	0.908477496
437	0.90955867
438	0.910639828
439	0.911612858
440	0.912477762
441	0.913126434
442	0.913991321
443	0.915072417
444	0.916153497
445	0.917342667
446	0.918639923
447	0.919829055
448	0.920801967
449	0.921666767
450	0.922639656
451	0.923504436
452	0.924477302
453	0.925666343
454	0.926747274
455	0.927612008
456	0.928368642
457	0.929125269
458	0.929881888
459	0.930530413
460	0.931178932
461	0.931827446
462	0.932475955
463	0.933016375
464	0.933664874
465	0.934205285
466	0.934637612
467	0.935178017
468	0.935610338
469	0.936042656
470	0.936474973
471	0.937123443
472	0.93766383
473	0.93831229
474	0.938960745
475	0.93950112
476	0.939933417
477	0.940365712
478	0.940689931
479	0.941122222
480	0.941662582
481	0.94241908
482	0.943067501
483	0.943715916
484	0.944256258
485	0.944688529
486	0.944904664
487	0.945228864
488	0.945444998
489	0.945769196
490	0.945985328
491	0.946201459
492	0.946309524
493	0.946309524
494	0.946201459
495	0.945877262
496	0.945877262
497	0.945877262
498	0.94566113
499	0.945336931
500	0.945228864
501	0.945012731
502	0.944580462
503	0.944256258
504	0.944040122
505	0.943607847
506	0.943067501
507	0.942311009
508	0.941770654
509	0.941122222
510	0.940365712
511	0.939609194
512	0.93885267
513	0.937988061
514	0.936799208
515	0.935610338
516	0.934313367
517	0.933124458
518	0.931719361
519	0.930206151
520	0.928801001
521	0.927179642
522	0.925450155
523	0.923612533
524	0.921774867
525	0.919720952
526	0.917342667
527	0.915072417
528	0.912585874
529	0.909883019
530	0.907288187
531	0.904585142
532	0.901557617
533	0.898746234
534	0.895718474
535	0.892474308
536	0.889121854
537	0.885661098
538	0.881767554
539	0.877981965
540	0.873871676
541	0.869761155
542	0.86554222
543	0.86121485
544	0.856562637
545	0.852018322
546	0.847257299
547	0.842171306
548	0.836868496
549	0.831457049
550	0.826045179
551	0.820091631
552	0.814354085
553	0.808399515
554	0.802227859
555	0.795839054
556	0.789341333
557	0.782626347
558	0.775910669
559	0.76886929
560	0.761827137
561	0.754350765
562	0.746873505
563	0.739070188
564	0.731265882
565	0.723352163
566	0.715437404
567	0.707196265
568	0.698737055
569	0.69038509
570	0.68170644
571	0.672917956
572	0.664128094
573	0.655336836
574	0.64621848
575	0.63720716
576	0.627868515
577	0.618636821
578	0.609186198
579	0.599516499
580	0.589953607
581	0.580171452
582	0.570387318
583	0.560601168
584	0.550921738
585	0.541131474
586	0.531230267
587	0.521218004
588	0.511094566
589	0.50096872
590	0.490840418
591	0.480709607
592	0.470903157
593	0.460985253
594	0.451173819
595	0.441250764
596	0.431434119
597	0.421505674
598	0.411574421
599	0.401749474
600	0.392030856
601	0.382309347
602	0.37269415
603	0.363294604
604	0.353782789
605	0.344486673
606	0.335296964
607	0.326213687
608	0.317127373
609	0.308256994
610	0.299383551
611	0.290616557
612	0.282065681
613	0.27362138
614	0.265283678
615	0.257162366
616	0.249147785
617	0.241239961
618	0.233548815
619	0.225854629
620	0.218377264
621	0.209488776
622	0.202308847
623	0.195413115
624	0.18856953
625	0.181892194
626	0.175484356
627	0.169027414
628	0.162835554
629	0.156703486
630	0.150921893
631	0.145103095
632	0.139530205
633	0.134018248
634	0.12874282
635	0.123611638
636	0.11870319
637	0.113851728
638	0.109138064
639	0.104634015
640	0.100187329
641	0.096011464
642	0.09195659
643	0.087955086
644	0.084138388
645	0.080436882
