filter glass type,BG60
Reflection factor  P,0.914031098
Reference thickness,1
Filter thickness   d =,1
wavelength in nm,ti
200,5.65754E-14
201,5.65754E-14
202,5.65754E-14
203,5.65754E-14
204,5.65754E-14
205,5.65754E-14
206,5.65754E-14
207,5.65754E-14
208,5.65754E-14
209,5.65754E-14
210,5.65754E-14
211,5.65754E-14
212,5.65754E-14
213,5.65754E-14
214,5.65754E-14
215,5.65754E-14
216,5.65754E-14
217,5.65754E-14
218,5.65754E-14
219,5.65754E-14
220,5.65754E-14
221,5.65754E-14
222,5.65754E-14
223,5.65754E-14
224,5.65754E-14
225,5.65754E-14
226,5.65754E-14
227,5.65754E-14
228,5.65754E-14
229,5.65754E-14
230,5.65754E-14
231,5.65754E-14
232,5.65754E-14
233,5.65754E-14
234,5.65754E-14
235,5.65754E-14
236,5.65754E-14
237,5.65754E-14
238,5.65754E-14
239,5.65754E-14
240,5.65754E-14
241,5.65754E-14
242,5.65754E-14
243,5.65754E-14
244,5.65754E-14
245,5.65754E-14
246,5.65754E-14
247,5.65754E-14
248,5.65754E-14
249,5.65754E-14
250,5.65754E-14
251,5.65754E-14
252,5.65754E-14
253,5.65754E-14
254,5.65754E-14
255,5.65754E-14
256,5.65754E-14
257,5.65754E-14
258,5.65754E-14
259,5.65754E-14
260,5.65754E-14
261,5.65754E-14
262,5.65754E-14
263,5.65754E-14
264,5.65754E-14
265,5.65754E-14
266,5.65754E-14
267,5.65754E-14
268,5.65754E-14
269,5.65754E-14
270,5.65754E-14
271,5.65754E-14
272,5.65754E-14
273,5.65754E-14
274,5.65754E-14
275,5.65754E-14
276,5.65754E-14
277,5.65754E-14
278,5.65754E-14
279,5.65754E-14
280,5.65754E-14
281,5.65754E-14
282,5.65754E-14
283,5.65754E-14
284,5.65754E-14
285,5.65754E-14
286,5.65754E-14
287,5.65754E-14
288,5.65754E-14
289,5.65754E-14
290,5.65754E-14
291,5.65754E-14
292,5.65754E-14
293,5.65754E-14
294,5.65754E-14
295,5.65754E-14
296,5.65754E-14
297,5.65754E-14
298,5.65754E-14
299,5.65754E-14
300,5.65754E-14
301,5.65754E-14
302,5.65754E-14
303,5.65754E-14
304,5.65754E-14
305,5.74674E-13
306,5.83734E-12
307,2.26544E-11
308,1.72013E-10
309,7.37666E-10
310,3.46592E-09
311,1.51908E-08
312,5.29246E-08
313,1.73518E-07
314,5.22994E-07
315,1.50582E-06
316,4.04134E-06
317,1.00707E-05
318,1.86008E-05
319,3.68973E-05
320,7.83064E-05
321,0.000157728
322,0.000403638
323,0.000690571
324,0.001144015
325,0.001863072
326,0.00292422
327,0.004504233
328,0.006703568
329,0.009676972
330,0.013599767
331,0.018668763
332,0.02496866
333,0.032699543
334,0.041920334
335,0.052772179
336,0.065206951
337,0.07918932
338,0.094647792
339,0.111707812
